"equator_url","guideline_id","acronym","title"
"https://www.equator-network.org/reporting-guidelines/consort-children/","consort-children-and-adolescents","CONSORT-Children and Adolescents","CONSORT-Children and Adolescents"
"https://www.equator-network.org/reporting-guidelines/consensus-based-reporting-guideline-for-participatory-development-and-evaluation-of-digital-health-interventions/","consensus-based-reporting-guideline-for-participatory-development-and-evaluation","","Consensus-based reporting guideline for participatory development and evaluation of digital health interventions"
"https://www.equator-network.org/reporting-guidelines/phycare-reporting-guidelines-for-physiotherapy-case-reports-a-consensus-based-development/","phycare","PhyCARE","Reporting guidelines for physiotherapy case reports: a consensus-based development (PhyCARE)"
"https://www.equator-network.org/reporting-guidelines/starbiv-a-standard-to-report-biological-variation-data-studies/","starbiv","STARBIV","STARBIV : A standard to report biological variation data studies"
"https://www.equator-network.org/reporting-guidelines/tidier-c/","tidier-c","TIDieR-C","TIDieR-C"
"https://www.equator-network.org/reporting-guidelines/care-dn-an-extension-of-the-care-guidelines-for-dry-needling-case-reports/","care-dn","CARE-DN","An Extension of the CARE Guidelines for Dry Needling Case Reports (CARE-DN)"
"https://www.equator-network.org/reporting-guidelines/reporting-guideline-for-intervention-description-in-rehabilitation-guide-rehab/","guide-rehab","GUIDE-Rehab","Reporting GUideline for Intervention DEscription in Rehabilitation (GUIDE-Rehab)"
"https://www.equator-network.org/reporting-guidelines/reporting-of-perinatal-pharmacoepidemiology-studies/","reporting-of-perinatal-pharmacoepidemiology-studies","","Reporting of perinatal pharmacoepidemiology studies"
"https://www.equator-network.org/reporting-guidelines/spirit-children/","spirit-children-and-adolescents","SPIRIT-Children and Adolescents","SPIRIT-Children and Adolescents"
"https://www.equator-network.org/reporting-guidelines/reporting-qualitative-methods-in-mental-health-research/","mentor","MENTOR","Reporting qualitative Methods in Mental Health Research"
"https://www.equator-network.org/reporting-guidelines/evidence-based-practice-quality-improvement-reporting-guidelines/","ebpqi","EBPQI","Evidence -Based Practice Quality Improvement Reporting Guidelines"
