"section","item_no","item_text","response_type"
"Title","1","Identify the report as a systematic review.","page_ref"
"Abstract","2","See the PRISMA 2020 for Abstracts checklist.","page_ref"
"Introduction","3","Describe the rationale for the review in the context of existing knowledge.","page_ref"
"Introduction","4","Provide an explicit statement of the objective(s) or question(s) the review addresses.","page_ref"
"Methods","5","Specify the inclusion and exclusion criteria for the review and how studies were grouped for the syntheses.","page_ref"
"Methods","6","Specify all databases, registers, websites, organizations, reference lists and other sources searched or consulted; specify the date when each was last searched or consulted.","page_ref"
"Methods","7","Present the full search strategies for all databases, registers and websites, including any filters and limits used.","page_ref"
"Methods","8","Specify the methods used to decide whether a study met the inclusion criteria of the review, including how many reviewers screened each record and each report retrieved, whether they worked independently, and any automation tools used in the process.","page_ref"
"Methods","9","Specify the methods used to collect data from reports, including how many reviewers collected data from each report, whether they worked independently, any processes for obtaining or confirming data from study investigators, and any automation tools used in the process.","page_ref"
"Methods","10a","List and define all outcomes for which data were sought; specify whether all results compatible with each outcome domain in each study were sought and, if not, the methods used to decide which results to collect.","page_ref"
"Methods","10b","List and define all other variables for which data were sought (e.g. participant and intervention characteristics, funding sources); describe any assumptions made about any missing or unclear information.","page_ref"
"Methods","11","Specify the methods used to assess risk of bias in the included studies, including details of the tool(s) used, how many reviewers assessed each study and whether they worked independently, and any automation tools used in the process.","page_ref"
"Methods","12","Specify for each outcome the effect measure(s) (e.g. risk ratio, mean difference) used in the synthesis or presentation of results.","page_ref"
"Methods","13a","Describe the processes used to decide which studies were eligible for each synthesis (e.g. tabulating the study intervention characteristics and comparing against the planned groups for each synthesis).","page_ref"
"Methods","13b","Describe any methods required to prepare the data for presentation or synthesis, such as handling of missing summary statistics or data conversions.","page_ref"
"Methods","13c","Describe any methods used to tabulate or visually display results of individual studies and syntheses.","page_ref"
"Methods","13d","Describe any methods used to synthesize results and provide a rationale for the choice(s); if meta-analysis was performed, describe the model(s), method(s) to identify the presence and extent of statistical heterogeneity, and software package(s) used.","page_ref"
"Methods","13e","Describe any methods used to explore possible causes of heterogeneity among study results (e.g. subgroup analysis, meta-regression).","page_ref"
"Methods","13f","Describe any sensitivity analyses conducted to assess robustness of the synthesized results.","page_ref"
"Methods","14","Describe any methods used to assess risk of bias due to missing results in a synthesis (arising from reporting biases).","page_ref"
"Methods","15","Describe any methods used to assess certainty (or confidence) in the body of evidence for an outcome.","page_ref"
"Results","16a","Describe the results of the search and selection process, from the number of records identified in the search to the number of studies included in the review, ideally using a flow diagram.","page_ref"
"Results","16b","Cite studies that might appear to meet the inclusion criteria, but which were excluded, and explain why they were excluded.","page_ref"
"Results","17","Cite each included study and present its characteristics.","page_ref"
"Results","18","Present assessments of risk of bias for each included study.","page_ref"
"Results","19","For all outcomes, present, for each study, summary statistics for each group (where appropriate) and an effect estimate and its precision (e.g. confidence/credible interval), ideally using structured tables or plots.","page_ref"
"Results","20a","For each synthesis, briefly summarize the characteristics and risk of bias among contributing studies.","page_ref"
"Results","20b","Present results of all statistical syntheses conducted; if meta-analysis was done, present for each the summary estimate and its precision and measures of statistical heterogeneity; if comparing groups, describe the direction of the effect.","page_ref"
"Results","20c","Present results of all investigations of possible causes of heterogeneity among study results.","page_ref"
"Results","20d","Present results of all sensitivity analyses conducted to assess the robustness of the synthesized results.","page_ref"
"Results","21","Present assessments of risk of bias due to missing results (arising from reporting biases) for each synthesis assessed.","page_ref"
"Results","22","Present assessments of certainty (or confidence) in the body of evidence for each outcome assessed.","page_ref"
"Discussion","23a","Provide a general interpretation of the results in the context of other evidence.","page_ref"
"Discussion","23b","Discuss any limitations of the evidence included in the review.","page_ref"
"Discussion","23c","Discuss any limitations of the review processes used.","page_ref"
"Discussion","23d","Discuss implications of the results for practice, policy and future research.","page_ref"
"Other information","24a","Provide registration information for the review, including the register name and registration number, or state that the review was not registered.","page_ref"
"Other information","24b","Indicate where the review protocol can be accessed, or state that a protocol was not prepared.","page_ref"
"Other information","24c","Describe and explain any amendments to information provided at registration or in the protocol.","page_ref"
"Other information","25","Describe sources of financial or non-financial support for the review, and the role of the funders or sponsors in the review.","page_ref"
"Other information","26","Declare any competing interests of review authors.","page_ref"
"Other information","27","Report which of the following are publicly available and where: template data collection forms; data extracted from included studies; data used for all analyses; analytic code; any other materials used in the review.","page_ref"
