"guideline_id","n_files","status","n_items","parse_confidence","parse_method","verified","needs_review"
"a-checklist-to-improve-reporting-of-group-based-behaviour-change",1,"partial",90,0.3,"pdf_text_regex",FALSE,TRUE
"accord",1,"parsed_ok",35,1,"docx_table",FALSE,FALSE
"ace-statement",1,"partial",74,0.3,"pdf_text_regex",FALSE,TRUE
"agree-reporting-guideline-checklist",2,"parsed_ok",23,0.98,"docx_table",FALSE,FALSE
"amwa-emwa-ismpp-joint-position-statement",1,"partial",21,0.3,"pdf_text_regex",FALSE,TRUE
"beprecise",2,"parsed_ok",12,0.86,"docx_table",FALSE,FALSE
"bias",1,"partial",35,0.3,"pdf_text_regex",FALSE,TRUE
"biblio",2,"parsed_ok",20,1,"docx_table",FALSE,FALSE
"care",3,"partial",61,0.3,"pdf_text_regex",FALSE,TRUE
"cert",1,"partial",90,0.3,"pdf_text_regex",FALSE,TRUE
"checkup",4,"partial",16,0.3,"pdf_text_regex",FALSE,TRUE
"cheers-2022",2,"failed",0,0,NA,FALSE,FALSE
"clix-m",1,"parsed_ok",14,0.74,"docx_table",FALSE,FALSE
"cobra",2,"failed",0,0,NA,FALSE,FALSE
"code-ehr",2,"parsed_ok",8,0.86,"docx_table",FALSE,FALSE
"consensus-based-reporting-guideline-for-participatory-development-and-evaluation",1,"partial",249,0.3,"pdf_text_regex",FALSE,TRUE
"conserve",1,"parsed_ok",8,0.62,"docx_table",FALSE,FALSE
"consolidated-reporting-guidelines-for-prognostic-and-diagnostic-machine",1,"failed",0,0,NA,FALSE,FALSE
"consort",NA,"parsed_ok",37,NA,NA,TRUE,FALSE
"consort-2010-statement-extension-to-randomised-pilot-and",1,"failed",0,0,NA,FALSE,FALSE
"consort-define",1,"partial",46,0.3,"pdf_text_regex",FALSE,TRUE
"consort-factorial",1,"partial",88,0.3,"pdf_text_regex",FALSE,TRUE
"consort-harms-2022",1,"parsed_ok",40,1,"docx_table",FALSE,FALSE
"consort-pro",1,"partial",15,0.3,"pdf_text_regex",FALSE,TRUE
"consort-spi-2018",8,"parsed_ok",37,1,"docx_table",FALSE,FALSE
"crisp",14,"parsed_ok",24,0.86,"docx_table",FALSE,FALSE
"decide-ai",1,"failed",0,0,NA,FALSE,FALSE
"delphistar",4,"parsed_ok",76,1,"docx_table",FALSE,FALSE
"developing-a-methodological-framework-for-organisational-case-studies",1,"partial",10,0.3,"pdf_text_regex",FALSE,TRUE
"development-of-guidelines-to-reduce-handle-and-report",1,"partial",89,0.3,"pdf_text_regex",FALSE,TRUE
"doctrine",1,"parsed_ok",4,0.62,"docx_table",FALSE,FALSE
"emerge-685e05",1,"parsed_ok",5,1,"docx_table",FALSE,FALSE
"gamer",1,"parsed_ok",9,0.62,"docx_table",FALSE,FALSE
"gather",1,"partial",23,0.3,"pdf_text_regex",FALSE,TRUE
"greenbean",2,"parsed_ok",34,1,"docx_table",FALSE,FALSE
"greet",1,"parsed_ok",24,0.62,"docx_table",FALSE,FALSE
"greom",1,"partial",15,0.3,"pdf_text_regex",FALSE,TRUE
"gripp2",3,"parsed_ok",39,0.62,"docx_table",FALSE,FALSE
"grove",1,"parsed_ok",11,0.98,"docx_table",FALSE,FALSE
"guidelines-for-reporting-research-using-systematic-coding-of",2,"parsed_ok",22,1,"docx_table",FALSE,FALSE
"guidelines-for-the-content-of-statistical-analysis-plans",2,"parsed_ok",56,1,"docx_table",FALSE,FALSE
"icarus",2,"parsed_ok",13,0.98,"docx_table",FALSE,FALSE
"icmje-uniform-format-for-disclosure-of-competing",2,"parsed_ok",1,0.62,"docx_table",FALSE,FALSE
"jars-quant",15,"failed",0,0,NA,FALSE,FALSE
"journal-article-reporting-standards-for-qualitative-primary-qualitative",3,"failed",0,0,NA,FALSE,FALSE
"medinai",1,"failed",0,0,NA,FALSE,FALSE
"mibo",2,"partial",13,0.3,"pdf_text_regex",FALSE,TRUE
"micro",2,"parsed_ok",20,1,"docx_table",FALSE,FALSE
"mmr-rhs",1,"failed",0,0,NA,FALSE,FALSE
